year,make,model,body_styles
2025,Audi,Q6 e-tron,""
2025,Cadillac,CT5,""
2025,Cadillac,Escalade IQ,""
2025,Cadillac,OPTIQ,""
2025,Chevrolet,Silverado EV,""
2025,Chevrolet,Suburban,""
2025,Chevrolet,Tahoe,""
2025,Dodge,Charger,""
2025,Fisker,Alaska,""
2025,Genesis,G80,""
2025,Genesis,GV80,""
2025,Genesis,GV80 Coupe,""
2025,GMC,Yukon,""
2025,Kia,Carnival,""
2025,Lexus,UX,""
2025,Lucid,Gravity,""
2025,MINI,Countryman,""
2025,MINI,Hardtop 2 Door,""
2025,Ram,1500 Crew Cab,""
2025,Ram,1500 Ramcharger,""
2025,Ram,1500 REV,""
2025,Subaru,Forester,""
2025,Toyota,Camry,""
2025,Toyota,Crown Signia,""
2025,Volkswagen,ID.7,""
2025,Volkswagen,ID.Buzz,""
2025,Volvo,EX30,""
2025,Volvo,EX90,""
"2025,Ford,Escape,"""""
"2025,Ford,Bronco Sport,"""""
"2025,Ford,Bronco,"""""
"2025,Ford,Explorer,"""""
"2025,Ford,Edge,"""""
"2025,Ford,Expedition,"""""
"2025,Ford,Mavrick,"""""
"2025,Ford,Ranger,"""""
"2025,Ford,F-150,"""""
"2025,Ford,F-250 Super Duty,"""""
"2025,Ford,Transit,"""""
"2025,Ford,Escape ST-Line Hybrid,"""""
"2025,Ford,Escape Plug-In Hybrid,"""""
"2025,Ford,F-150 Lightning,"""""
"2025,Ford,Mustag Mach-E,"""""
"2025,Ford,E-Transit,"""""
"2025,Ford,Mustang,"""""
"2025,Ford,Edge ST,"""""
"2025,Ford,Explorer ST,"""""
"2025,Ford,Bronco Raptor,"""""
"2025,Ford,F-150 Raptor,"""""
